Id,LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,GarageCars,Neighborhood,SalePrice
1,8450,7,2003,856.0,1710,3,2,2,CollgCr,208500
2,9600,6,1976,1262.0,1262,3,2,2,Veenker,181500
3,11250,7,2001,920.0,1786,3,2,2,CollgCr,223500
4,9550,7,1915,756.0,1717,3,1,3,Crawfor,140000
5,14260,8,2000,1145.0,2198,4,2,3,NoRidge,250000
6,14115,7,1993,796.0,1362,3,1,2,Mitchel,143000
7,10084,8,2004,1686.0,1694,3,2,2,Somerst,307000
8,10382,7,1973,1100.0,2090,4,2,2,NWAmes,200000
9,6120,7,1931,882.0,1774,2,1,1,OldTown,129900
10,7420,5,1939,,1077,2,1,1,BrkSide,118000
11,11200,5,1965,1040.0,1040,3,1,1,Sawyer,129500
12,11924,6,2005,912.0,2324,4,2,3,NridgHt,345000
13,12968,7,1962,912.0,912,2,1,1,Sawyer,144000
14,10652,6,2006,1494.0,1494,3,2,3,Somerst,279500
15,10920,7,1960,1253.0,1253,3,2,2,Sawyer,157000
16,6120,6,1929,832.0,832,2,1,1,OldTown,132000
17,11241,7,1970,1004.0,1004,3,2,2,NAmes,149000
18,10791,5,1967,0.0,1296,3,1,1,BrkSide,90000
19,13695,8,2004,1588.0,1588,4,2,3,NoRidge,325000
20,7560,5,1958,864.0,864,2,1,1,OldTown,91000
